,ds,y
1249,2020-04-14 09:30:00,240
1250,2020-04-14 10:00:00,305
1251,2020-04-14 10:30:00,289
1252,2020-04-14 11:00:00,370
1253,2020-04-14 11:30:00,355
1254,2020-04-14 12:00:00,257
1255,2020-04-14 12:30:00,496
1256,2020-04-14 13:00:00,197
1257,2020-04-14 13:30:00,378
1258,2020-04-14 14:00:00,331
1259,2020-04-14 14:30:00,430
1260,2020-04-14 15:00:00,368
1261,2020-04-14 15:30:00,462
1262,2020-04-14 16:00:00,173
1263,2020-04-14 16:30:00,398
1264,2020-04-14 17:00:00,425
1265,2020-04-14 17:30:00,425
1266,2020-04-14 18:00:00,296
1267,2020-04-14 18:30:00,266
1268,2020-04-14 19:00:00,294
1269,2020-04-14 19:30:00,284
1270,2020-04-14 20:00:00,135
1271,2020-04-14 20:30:00,267
1272,2020-04-14 21:00:00,57
1273,2020-04-14 21:30:00,7
1274,2020-04-15 08:00:00,115
1275,2020-04-15 08:30:00,69
1276,2020-04-15 09:00:00,107
1277,2020-04-15 09:30:00,151
1278,2020-04-15 10:00:00,118
1279,2020-04-15 10:30:00,166
1280,2020-04-15 11:00:00,68
1281,2020-04-15 11:30:00,228
1282,2020-04-15 12:00:00,237
1283,2020-04-15 12:30:00,267
1284,2020-04-15 13:00:00,279
1285,2020-04-15 13:30:00,193
1286,2020-04-15 14:00:00,116
1287,2020-04-15 14:30:00,91
1288,2020-04-15 15:00:00,212
1289,2020-04-15 15:30:00,551
1290,2020-04-15 16:00:00,293
1291,2020-04-15 16:30:00,468
1292,2020-04-15 17:00:00,314
1293,2020-04-15 17:30:00,617
1294,2020-04-15 18:00:00,249
1295,2020-04-15 18:30:00,371
1296,2020-04-15 19:00:00,283
1297,2020-04-15 19:30:00,77
1298,2020-04-15 20:00:00,167
1299,2020-04-15 20:30:00,210
1300,2020-04-15 21:00:00,48
1301,2020-04-16 08:00:00,212
1302,2020-04-16 08:30:00,333
1303,2020-04-16 09:00:00,98
1304,2020-04-16 09:30:00,182
1305,2020-04-16 10:00:00,113
1306,2020-04-16 10:30:00,495
1307,2020-04-16 11:00:00,298
1308,2020-04-16 11:30:00,504
1309,2020-04-16 12:00:00,355
1310,2020-04-16 12:30:00,428
1311,2020-04-16 13:00:00,330
1312,2020-04-16 13:30:00,283
1313,2020-04-16 14:00:00,336
1314,2020-04-16 14:30:00,234
1315,2020-04-16 15:00:00,327
1316,2020-04-16 15:30:00,418
1317,2020-04-16 16:00:00,531
1318,2020-04-16 16:30:00,556
1319,2020-04-16 17:00:00,783
1320,2020-04-16 17:30:00,389
1321,2020-04-16 18:00:00,350
1322,2020-04-16 18:30:00,422
1323,2020-04-16 19:00:00,381
1324,2020-04-16 19:30:00,221
1325,2020-04-16 20:00:00,335
1326,2020-04-16 20:30:00,89
1327,2020-04-16 21:00:00,67
1328,2020-04-17 08:00:00,77
1329,2020-04-17 08:30:00,289
1330,2020-04-17 09:00:00,243
1331,2020-04-17 09:30:00,130
1332,2020-04-17 10:00:00,270
1333,2020-04-17 10:30:00,445
1334,2020-04-17 11:00:00,491
1335,2020-04-17 11:30:00,362
1336,2020-04-17 12:00:00,322
1337,2020-04-17 12:30:00,565
1338,2020-04-17 13:00:00,424
1339,2020-04-17 13:30:00,339
1340,2020-04-17 14:00:00,305
1341,2020-04-17 14:30:00,509
1342,2020-04-17 15:00:00,405
1343,2020-04-17 15:30:00,246
1344,2020-04-17 16:00:00,383
1345,2020-04-17 16:30:00,571
1346,2020-04-17 17:00:00,530
1347,2020-04-17 17:30:00,337
1348,2020-04-17 18:00:00,602
1349,2020-04-17 18:30:00,576
1350,2020-04-17 19:00:00,348
1351,2020-04-17 19:30:00,157
1352,2020-04-17 20:00:00,93
1353,2020-04-17 20:30:00,58
1354,2020-04-17 21:00:00,1
1355,2020-04-18 07:30:00,1
1356,2020-04-18 08:00:00,186
1357,2020-04-18 08:30:00,195
1358,2020-04-18 09:00:00,283
1359,2020-04-18 09:30:00,331
1360,2020-04-18 10:00:00,347
1361,2020-04-18 10:30:00,543
1362,2020-04-18 11:00:00,530
1363,2020-04-18 11:30:00,557
1364,2020-04-18 12:00:00,419
1365,2020-04-18 12:30:00,454
1366,2020-04-18 13:00:00,549
1367,2020-04-18 13:30:00,475
1368,2020-04-18 14:00:00,707
1369,2020-04-18 14:30:00,224
1370,2020-04-18 15:00:00,322
1371,2020-04-18 15:30:00,728
1372,2020-04-18 16:00:00,363
1373,2020-04-18 16:30:00,534
1374,2020-04-18 17:00:00,319
1375,2020-04-18 17:30:00,473
1376,2020-04-18 18:00:00,537
1377,2020-04-18 18:30:00,366
1378,2020-04-18 19:00:00,263
1379,2020-04-18 19:30:00,218
1380,2020-04-18 20:00:00,60
1381,2020-04-18 20:30:00,122
1382,2020-04-18 21:00:00,23
1383,2020-04-19 08:00:00,59
1384,2020-04-19 08:30:00,244
1385,2020-04-19 09:00:00,54
1386,2020-04-19 09:30:00,210
1387,2020-04-19 10:00:00,491
1388,2020-04-19 10:30:00,276
1389,2020-04-19 11:00:00,419
1390,2020-04-19 11:30:00,319
1391,2020-04-19 12:00:00,209
1392,2020-04-19 12:30:00,283
1393,2020-04-19 13:00:00,563
1394,2020-04-19 13:30:00,716
1395,2020-04-19 14:00:00,656
1396,2020-04-19 14:30:00,115
1397,2020-04-19 15:00:00,373
1398,2020-04-19 15:30:00,318
1399,2020-04-19 16:00:00,168
1400,2020-04-19 16:30:00,293
1401,2020-04-19 17:00:00,165
1402,2020-04-19 17:30:00,280
1403,2020-04-19 18:00:00,278
1404,2020-04-19 18:30:00,379
1405,2020-04-19 19:00:00,256
1406,2020-04-19 19:30:00,58
1407,2020-04-19 20:00:00,121
1408,2020-04-19 20:30:00,143
1409,2020-04-19 21:00:00,12
1410,2020-04-20 07:30:00,10
1411,2020-04-20 08:00:00,105
1412,2020-04-20 08:30:00,58
1413,2020-04-20 09:00:00,112
1414,2020-04-20 09:30:00,113
1415,2020-04-20 10:00:00,267
1416,2020-04-20 10:30:00,124
1417,2020-04-20 11:00:00,396
1418,2020-04-20 11:30:00,116
1419,2020-04-20 12:00:00,255
1420,2020-04-20 12:30:00,198
1421,2020-04-20 13:00:00,219
1422,2020-04-20 13:30:00,327
1423,2020-04-20 14:00:00,349
1424,2020-04-20 14:30:00,198
1425,2020-04-20 15:00:00,441
1426,2020-04-20 15:30:00,287
1427,2020-04-20 16:00:00,170
1428,2020-04-20 16:30:00,388
1429,2020-04-20 17:00:00,465
1430,2020-04-20 17:30:00,340
1431,2020-04-20 18:00:00,347
1432,2020-04-20 18:30:00,338
1433,2020-04-20 19:00:00,202
1434,2020-04-20 19:30:00,142
1435,2020-04-20 20:00:00,163
1436,2020-04-20 20:30:00,104
1437,2020-04-21 08:00:00,32
1438,2020-04-21 08:30:00,164
1439,2020-04-21 09:00:00,259
1440,2020-04-21 09:30:00,109
1441,2020-04-21 10:00:00,234
1442,2020-04-21 10:30:00,147
1443,2020-04-21 11:00:00,205
1444,2020-04-21 11:30:00,449
1445,2020-04-21 12:00:00,295
1446,2020-04-21 12:30:00,278
1447,2020-04-21 13:00:00,438
1448,2020-04-21 13:30:00,249
1449,2020-04-21 14:00:00,378
1450,2020-04-21 14:30:00,219
1451,2020-04-21 15:00:00,104
1452,2020-04-21 15:30:00,340
1453,2020-04-21 16:00:00,421
1454,2020-04-21 16:30:00,332
1455,2020-04-21 17:00:00,379
1456,2020-04-21 17:30:00,245
1457,2020-04-21 18:00:00,262
1458,2020-04-21 18:30:00,191
1459,2020-04-21 19:00:00,137
1460,2020-04-21 19:30:00,143
1461,2020-04-21 20:00:00,33
